Section Name,Count,Total Time,Min Time,Max Time,Avg Time,Filename,Function Name,Line Number,Trig Speed Test,1,0.0392338,0.0392338,0.0392338,0.0392338,./Code/main.cpp,Test2,78,
Random Angle Generation,1,0.000848,0.000848,0.000848,0.000848,./Code/main.cpp,Test2,61,
Total Cos and Sin Compute,1,0.0383564,0.0383564,0.0383564,0.0383564,./Code/main.cpp,Test2,77,
Cos and Sin Compute,100000,0.0089705,0,9.5e-06,8.9705e-08,./Code/main.cpp,Test2,75,
Test 2 Speed Test,1,0.0408601,0.0408601,0.0408601,0.0408601,null,null,0,
Test 3 - interleave A,1,0.0034178,0.0034178,0.0034178,0.0034178,./Code/main.cpp,Test3,94,
Test 3 - interleave B,1,0.0034102,0.0034102,0.0034102,0.0034102,./Code/main.cpp,Test3,99,
